Date,Market,Chain,Product,Return,Sum
2023-03-13,Номин,Номин нарны хороолол,241726.57,85315.26,327041.83
2023-03-13,Номин,Номин москва,142192.1,99534.47,241726.57
2023-03-13,Номин,Номин өнөр,298603.41,85315.26,383918.67
2023-03-17,Номин,Номин Андууд,455014.72,71096.05,526110.77
2023-03-18,Номин,Номин 19,554549.19,,
2023-03-18,Номин,Номин наадам,440795.51,56876.84,497672.35
2023-03-18,Номин,Номин РивэрГардэн,489775.51,,
2023-03-18,Номин,Номин их монгол,639864.45,14219.21,654083.6599999999
2023-03-20,Номин,Номин УИД,810494.97,14219.21,824714.1799999999
2023-03-20,Номин,Номин 11,426576.3,,
2023-03-20,Номин,Номин Яармаг,284384.2,85315.26,369699.46
2023-03-20,Номин,Номин Седар,455014.72,65881.26,520895.98
2023-03-22,Номин,Номин зүүн 4 зам,540329.98,56876.84,597206.82
2023-03-22,Номин,Номин юнайтед,369699.46,184849.73,554549.1900000001
2023-03-24,Номин,Номин Билэг,426576.3,14219.21,440795.51
2023-03-24,Номин,Номин Өргөө,184849.73,,
2023-03-24,Номин,Номин 32,227507.36,,
2023-03-24,Номин,Номин зунжин,,42657.63,
2023-03-25,Номин,Номин наадам,213288.15,,
2023-03-25,Номин,Номин РивэрГардэн,455014.72,,
2023-03-25,Номин,Номин зайсан,526110.77,,
2023-03-25,Номин,Номин их монгол,483453.14,,
2023-03-27,Номин,Номин УИД,682522.08,14219.21,696741.2899999999
2023-03-27,Номин,Номин 10 ХАС,412357.09,14219.21,426576.30000000005
2023-03-27,Номин,Номин москва,412357.09,127972.89,540329.98
2023-03-27,Авлага,Авлага суутгав,,7584.0,
2023-03-27,Авлага,Авлага суутгав-Хөвсгөл,7584.0,,
2023-03-27,Номин,Номин дархан,639864.45,,
2023-03-31,Номин,Номин зүүн 4 зам,327041.83,,
2023-04-03,Номин,Номин УИД,298603.41,15482.42,314085.82999999996
2023-04-03,Номин,Номин Седар,341261.04,,
2023-04-07,Номин,Номин УИД,625645.24,14219.21,639864.45
2023-04-07,Номин,Номин Өргөө,526110.77,,
2023-04-08,Номин,Номин наадам,625645.24,14219.21,639864.45
2023-04-08,Номин,Номин РивэрГардэн,398137.88,,
2023-04-08,Номин,Номин их монгол,540329.98,14219.21,554549.19
2023-04-10,Номин,Номин УИД,426576.3,,
2023-04-10,Номин,Номин 32,327041.83,14219.21,341261.04000000004
2023-04-10,Номин,Номин 11,383918.67,,
2023-04-10,Номин,Номин зунжин,526110.77,14219.21,540329.98
2023-04-12,Номин,Номин өнөр,71096.05,,
2023-04-12,Номин,Номин москва,85315.26,14219.21,99534.47
2023-04-12,Номин,Номин замын үүд,568768.4,,
2023-04-13,Номин,Номин зүүн 4 зам,412357.09,14219.21,426576.30000000005
2023-04-13,Номин,Номин Өргөө,184849.73,,
2023-04-14,Номин,Номин наадам,483453.14,,
2023-04-14,Номин,Номин РивэрГардэн,383918.67,,
2023-04-14,Номин,Номин их монгол,213288.15,,
2023-04-14,Номин,Номин нарны гүүр,568768.4,,
2023-04-17,Номин,Номин УИД,625645.24,,
2023-04-17,Номин,Номин Нисэх,625645.24,,
2023-04-17,Номин,Номин Яармаг,341261.04,,
2023-04-17,Номин,Номин Седар,284384.2,,
2023-04-19,Номин,Номин Юнаитэд,341261.04,,
2023-04-19,Номин,Номин зайсан,568768.4,28438.42,597206.8200000001
2023-04-20,Номин,Номин дархан,910029.44,,
2023-04-21,Номин,Номин УИД,1038002.33,28438.42,1066440.75
2023-04-21,Номин,Номин 10 ХАС,554549.19,56876.84,611426.0299999999
2023-04-21,Номин,Номин Хөвсгөл,639864.45,,
2023-04-24,Номин,Номин гарден,895810.23,,
2023-04-28,Номин,Номин нарны хороолол,341261.04,14219.21,355480.25
2023-04-28,Номин,Номин их монгол,654083.66,63199.21,717282.87
2023-04-28,Номин,Номин зүүн 4 зам,568768.4,77418.42,646186.8200000001
2023-04-28,Номин,Номин УИД,511891.56,,
2023-04-28,Номин,Номин Билэг,355480.25,,
2023-04-28,Номин,Номин Өргөө,582987.61,14219.21,597206.82
2023-04-29,Номин,Номин 19,554549.19,,
2023-04-29,Номин,Номин наадам,824714.18,28438.42,853152.6000000001
2023-04-29,Номин,Номин зайсан,426576.3,,
2023-04-29,Номин,Номин Яармаг,597206.82,113753.68,710960.5
2023-04-29,Номин,Номин Седар,511891.56,28438.42,540329.98
2023-01-04,Emart,Emart Хануул,582400.0,,
2023-01-05,Emart,Emart хороолол,144000.0,,
2023-01-11,E,E mart Чингис,510400.0,,
2023-01-11,E,E mart Хан Уул,936000.0,,
2023-01-11,E,E mart-Олип Хороолол,366400.0,,
2023-01-19,E,E mart Хан Уул,1374400.0,,
2023-01-23,E,E mart Хан Уул,1380800.0,,
2023-02-01,E,E mart Хан Уул,576000.0,,
2023-02-01,E,E mart-Олип Хороолол,288000.0,132160.0,420160.0
2023-02-02,E,E mart Чингис,144000.0,,
2023-02-08,E,E mart Хан Уул,936000.0,,
2023-02-09,E,E mart Чингис,288000.0,,
2023-02-15,E,E mart Хан Уул,864000.0,,
2023-02-16,E,E mart Чингис,144000.0,,
2023-03-02,E,E mart Чингис,288000.0,,
2023-03-02,E,E mart Хан Уул,360000.0,,
2023-03-08,,,1014400.0,,
2023-03-08,,,504000.0,,
2023-03-16,E,E mart Чингис,288000.0,204160.0,492160.0
2023-03-16,E,E mart Хан Уул,576000.0,,
2023-03-22,,,942400.0,,
2023-03-22,,,504000.0,,
2023-03-22,,,144000.0,,
2023-03-30,E,E mart Чингис,1045840.0,,
2023-03-30,E,E mart Хан Уул,1602080.0,160960.0,1763040.0
2023-03-30,E,E mart-Олип Хороолол,1168240.0,302240.0,1470480.0
2023-04-07,E,E mart Чингис,1045840.0,,
2023-04-07,E,E mart Хан Уул,1224000.0,,
2023-04-07,E,E mart-Олип Хороолол,311440.0,,
2023-04-19,E,E mart Хан Уул,792000.0,,
2023-04-20,E,E mart Чингис,,441728.0,
2023-04-26,E,E mart Чингис,543200.0,,
2023-04-26,E,E mart Хан Уул,615200.0,,
2023-04-26,E,E mart-Олип Хороолол,288000.0,,
2023-01-04,Сансар,Сансар 38,388800.0,14400.0,403200.0
2023-01-04,Сансар,Сансар бз товчоо,187200.0,,
2023-01-05,Сансар,Сансар 26,316800.0,28800.0,345600.0
2023-01-06,Сансар,Сансар 25,172800.0,14400.0,187200.0
2023-01-09,Сансар,Сансар наадам,230400.0,28800.0,259200.0
2023-01-09,Сансар,Сансар туннел,302400.0,,
2023-01-09,Сансар,Сансар Модны-2,216000.0,14400.0,230400.0
2023-01-11,Сансар,Сансар 21,345600.0,43200.0,388800.0
2023-01-11,Сансар,Сансар 5шар,,100800.0,
2023-01-11,Сансар,Сансар 42 Толгойт,273600.0,72000.0,345600.0
2023-01-12,Сансар,Сансар 16,86400.0,28800.0,115200.0
2023-01-13,Сансар,Сансар 32,,28800.0,
2023-01-13,Сансар,Сансар 13,374400.0,43200.0,417600.0
2023-01-13,Сансар,Сансар олимп,187200.0,28800.0,216000.0
2023-01-16,Сансар,Сансар 38,259200.0,14400.0,273600.0
2023-01-16,Сансар,Сансар 25,201600.0,14400.0,216000.0
2023-01-18,Сансар,Сансар бз товчоо,475200.0,,
2023-01-23,Сансар,Сансар 32,216000.0,43200.0,259200.0
2023-01-23,Сансар,Сансар 26,316800.0,28800.0,345600.0
2023-01-26,Сансар,Сансар 13,187200.0,129600.0,316800.0
2023-01-26,Сансар,Сансар 34 Яармаг,504000.0,57600.0,561600.0
2023-01-26,Сансар,Сансар 8 Чулуун-Овоо,259200.0,187200.0,446400.0
2023-01-30,Сансар,Сансар 1 түннэл,331200.0,43200.0,374400.0
2023-01-30,Сансар,Сансар 13,777600.0,28800.0,806400.0
2023-01-30,Сансар,Сансар 21 Содон хор,273600.0,14400.0,288000.0
2023-01-30,Сансар,Сансар 25 УБ Их Сургууль,144000.0,72000.0,216000.0
2023-02-01,Сансар,Сансар 26 Олимп хор,129600.0,,
2023-02-02,Сансар,Сансар Модны-2,273600.0,28800.0,302400.0
2023-02-08,Сансар,Сансар олимп,316800.0,,
2023-02-09,Сансар,Сансар 38,561600.0,,
2023-02-10,Сансар,Сансар туннел,331200.0,86400.0,417600.0
2023-02-11,Сансар,Сансар 34,720000.0,,
2023-02-13,Сансар,Сансар 15,331200.0,158400.0,489600.0
2023-02-15,Сансар,Сансар 26,129600.0,144000.0,273600.0
2023-02-15,Сансар,Сансар 8 Чулуун-Овоо,201600.0,14400.0,216000.0
2023-02-15,Сансар,Сансар 42 Толгойт,144000.0,86400.0,230400.0
2023-02-16,Сансар,Сансар 13,1036800.0,28800.0,1065600.0
2023-02-16,Сансар,Сансар 25,259200.0,28800.0,288000.0
2023-03-02,Сансар,Сансар 26,216000.0,57600.0,273600.0
2023-03-03,Сансар,Сансар 34,950400.0,86400.0,1036800.0
2023-03-03,Сансар,Сансар 38,302400.0,,
2023-03-06,Сансар,Сансар 32,360000.0,72000.0,432000.0
2023-03-08,Сансар,Сансар туннел,230400.0,14400.0,244800.0
2023-03-10,Сансар,Сансар 25,288000.0,,
2023-03-10,Сансар,Сансар бз товчоо,360000.0,72000.0,432000.0
2023-03-11,Сансар,Сансар 15,403200.0,,
2023-03-13,Сансар,Сансар 21,489600.0,115200.0,604800.0
2023-03-13,Сансар,Сансар 6 /5шар/,432000.0,216000.0,648000.0
2023-03-13,Сансар,Сансар 42 Толгойт,259200.0,43200.0,302400.0
2023-03-16,Сансар,Сансар 13,1022400.0,14400.0,1036800.0
2023-03-16,Сансар,Сансар 26,302400.0,43200.0,345600.0
2023-03-16,Сансар,Сансар 16 Шархад,316800.0,129600.0,446400.0
2023-03-17,Сансар,Сансар Модны-2,360000.0,28800.0,388800.0
2023-03-20,Сансар,Сансар 34,691200.0,100800.0,792000.0
2023-03-23,,,244800.0,14400.0,259200.0
2023-03-24,Сансар,Сансар 32,288000.0,43200.0,331200.0
2023-03-24,Сансар,Сансар 26 Олимп хор,302400.0,57600.0,360000.0
2023-03-24,Сансар,Сансар 25 УБ Их Сургууль,259200.0,,
